url_length,hostname_length,num_dots,num_hyphens,num_subdomains,has_ip,has_at_symbol,has_double_slash,is_https,num_digits_domain,suspicious_words,domain_length,label
80,7,1,0,0,0,0,0,1,0,0,4,1
131,15,2,1,1,0,0,0,1,0,0,6,1
60,30,2,1,0,0,0,0,1,0,0,26,1
51,21,3,0,2,0,0,0,1,0,0,5,1
38,18,3,0,1,0,0,0,1,7,0,10,1
59,18,2,0,0,0,0,0,1,0,1,14,1
41,32,2,1,1,0,0,0,1,8,0,11,1
39,30,2,0,1,0,0,0,1,0,0,7,1
11,0,1,0,0,0,0,0,0,5,0,7,0
15,0,1,0,0,0,0,0,0,0,0,12,0
28,19,2,1,1,0,0,0,1,6,0,10,1
43,28,2,1,1,0,0,0,1,0,0,16,1
16,0,1,0,0,0,0,0,0,0,0,12,0
21,6,1,1,0,0,0,0,1,0,0,3,1
47,38,2,0,1,0,0,0,1,0,0,11,1
46,7,3,1,1,0,0,0,1,0,0,2,1
71,43,3,1,1,0,0,0,1,1,0,2,1
51,16,1,1,0,0,0,0,1,0,1,12,1
